2023/186/02:49:40 A000 15 MON     AOSH,030783
2023/186/02:50:30 A010 15 MON     CMT,HRPT,030783
2023/186/03:02:53 A020 15 MON     CMT,HRPT,END
2023/186/04:08:49 A000 19 MON     AOSH,074249
2023/186/04:09:39 A010 19 MON     CMT,HRPT,074249
2023/186/04:16:29 A020 19 MON     CMT,HRPT,END
2023/186/04:16:49 A000 01 MON     AOSH,056011
2023/186/04:17:39 A010 01 MON     CMT,HRPT,056011
2023/186/04:29:10 A020 01 MON     CMT,HRPT,END
2023/186/04:46:30 A000 18 MON     AOSH,093412
2023/186/04:47:20 A010 18 MON     CMT,HRPT,093412
2023/186/04:57:16 A020 18 MON     CMT,HRPT,END
2023/186/05:08:25 A000 03 MON     AOSH,024169
2023/186/05:09:15 A010 03 MON     CMT,HRPT,024169
2023/186/05:21:49 A020 03 MON     CMT,HRPT,END
2023/186/05:48:34 A000 19 HAW     AOSH,074250
2023/186/05:49:24 A010 19 HAW     CMT,HRPT,074250
2023/186/05:56:53 A000 01 MON     AOSH,056012
2023/186/05:57:43 A010 01 MON     CMT,HRPT,056012
2023/186/05:59:49 A020 19 HAW     CMT,HRPT,END
2023/186/06:09:09 A020 01 MON     CMT,HRPT,END
2023/186/06:25:15 A000 18 MON     AOSH,093413
2023/186/06:26:05 A010 18 MON     CMT,HRPT,093413
2023/186/06:38:49 A020 18 MON     CMT,HRPT,END
2023/186/07:28:07 A000 19 HAW     AOSH,074250
2023/186/07:28:57 A010 19 HAW     CMT,HRPT,074250
2023/186/07:33:46 A020 19 HAW     CMT,HRPT,END
2023/186/08:03:58 A000 18 HAW     AOSH,093414
2023/186/08:04:48 A010 18 HAW     CMT,HRPT,093414
2023/186/08:16:37 A020 18 HAW     CMT,HRPT,END
2023/186/09:45:25 A000 18 HAW     AOSH,093415
2023/186/09:46:15 A010 18 HAW     CMT,HRPT,093415
2023/186/09:56:18 A020 18 HAW     CMT,HRPT,END
2023/186/15:07:13 A000 15 MON     AOSH,030790
2023/186/15:08:03 A010 15 MON     CMT,HRPT,030790
2023/186/15:19:33 A020 15 MON     CMT,HRPT,END
2023/186/16:37:00 A000 01 MON     AOSH,056018
2023/186/16:37:50 A010 01 MON     CMT,HRPT,056018
2023/186/16:47:15 A020 01 MON     CMT,HRPT,END
2023/186/16:47:35 A000 15 MON     AOSH,030791
2023/186/16:48:25 A010 15 MON     CMT,HRPT,030791
2023/186/16:59:03 A020 15 MON     CMT,HRPT,END
2023/186/17:28:14 A000 03 MON     AOSH,024176
2023/186/17:29:04 A010 03 MON     CMT,HRPT,024176
2023/186/17:41:22 A020 03 MON     CMT,HRPT,END
2023/186/17:49:40 A020 20 FBK     AOS,029161
2023/186/18:00:10 A110 19     S C REC,START,GAC,2B
2023/186/18:01:45 A150 19 FBK     RECEIVE,HRPT,074257,LSB,FPATH1,WB,700
2023/186/18:01:55 A160 19 FBK     INGEST,HRPT,074257,WB,SPATH2,DPSS
2023/186/18:02:05 A170 19 FBK     RECEIVE,GAC,1A,MSB,FPATH2,PTPR,6385
2023/186/18:06:05 A230 19     S C REC,END,GAC,1A
2023/186/18:06:10 A240 19 FBK     AOSH,074257
2023/186/18:07:10 A270 19 FBK     CMT,HRPT,074257,LSB
